skill
python
java
c++
sql
html
css
javascript
pandas
numpy
excel
power bi
tableau
machine learning
deep learning
artificial intelligence
data analysis
data visualization
tensorflow
pytorch
scikit-learn
nlp
natural language processing
computer vision
opencv
flask
fastapi
streamlit
django
docker
kubernetes
git
github
aws
azure
linux
mongodb
mysql
postgresql
statistics
data structures
algorithms
